StoreID,StoreName,StoreType,City,State,Tier,Region,OpenDate,IsActive,FloorAreaSqFt,MonthlyRentINR,RevenuePotentialCr,ManagerID
STR0001,RetailPulse Mumbai Flagship 1,Flagship Store,Mumbai,Maharashtra,Tier 1,West,2016-01-01,True,14710,1736035,12.85,EMP6086
STR0002,RetailPulse Delhi Express 2,Express Store,Delhi,Delhi,Tier 1,North,2019-01-01,True,2367,2839831,14.68,EMP6895
STR0003,RetailPulse Bangalore Flagship 3,Flagship Store,Bangalore,Karnataka,Tier 1,South,2014-02-01,False,2406,2876509,8.84,EMP4272
STR0004,RetailPulse Hyderabad Online 4,Online Only,Hyderabad,Telangana,Tier 1,South,2014-04-01,True,0,0,16.0,EMP4143
STR0005,RetailPulse Chennai Online 5,Online Only,Chennai,Tamil Nadu,Tier 1,South,2018-09-01,True,0,0,19.65,EMP8768
STR0006,RetailPulse Kolkata Flagship 6,Flagship Store,Kolkata,West Bengal,Tier 1,East,2020-06-01,True,13584,4516665,19.99,EMP3280
STR0007,RetailPulse Pune Shop-in-Shop 7,Shop-in-Shop,Pune,Maharashtra,Tier 1,West,2017-09-01,True,3112,1236690,10.19,EMP3520
STR0008,RetailPulse Ahmedabad Express 8,Express Store,Ahmedabad,Gujarat,Tier 1,West,2020-06-01,True,11236,3586774,15.1,EMP3802
STR0009,RetailPulse Jaipur Express 9,Express Store,Jaipur,Rajasthan,Tier 2,West,2014-03-01,True,5634,2477342,7.08,EMP5751
STR0010,RetailPulse Lucknow Online 10,Online Only,Lucknow,Uttar Pradesh,Tier 2,North,2015-03-01,True,0,0,7.05,EMP6274
STR0011,RetailPulse Surat Express 11,Express Store,Surat,Gujarat,Tier 2,West,2016-04-01,True,11798,2268384,8.81,EMP5400
STR0012,RetailPulse Kochi Express 12,Express Store,Kochi,Kerala,Tier 2,South,2013-10-01,True,14387,1712803,6.86,EMP4631
STR0013,RetailPulse Nagpur Express 13,Express Store,Nagpur,Maharashtra,Tier 2,West,2014-11-01,True,12620,2110065,9.72,EMP5407
STR0014,RetailPulse Indore Express 14,Express Store,Indore,Madhya Pradesh,Tier 2,North,2021-05-01,True,4343,2866861,4.23,EMP9654
STR0015,RetailPulse Bhopal Express 15,Express Store,Bhopal,Madhya Pradesh,Tier 2,North,2016-05-01,True,14734,2583552,8.67,EMP5193
