PromotionID,PromotionName,PromotionType,Channel,DiscountBand,DiscountPct,StartDate,DurationDays,BudgetINRLakhs,TargetCategory,IsActive
PRM0001,Flash Sale — In-Store 1,Flash Sale,In-Store,30-50%,38.13,2023-10-10,20,92.29,Apparel,True
PRM0002,Buy X Get Y — Affiliate 2,Buy X Get Y,Affiliate,30-50%,32.03,2020-09-11,2,30.94,Beauty & Personal Care,False
PRM0003,Flat Discount — App Notification 3,Flat Discount,App Notification,30-50%,32.43,2022-06-07,6,140.02,Books & Stationery,False
PRM0004,Flat Discount — In-Store 4,Flat Discount,In-Store,20-30%,27.75,2022-10-08,22,1.32,Apparel,True
PRM0005,Percentage Discount — SMS 5,Percentage Discount,SMS,0-10%,2.89,2023-01-05,20,50.78,Books & Stationery,True
PRM0006,Seasonal Sale — SMS 6,Seasonal Sale,SMS,30-50%,31.34,2022-04-13,28,149.99,Apparel,True
PRM0007,Clearance Sale — App Notification 7,Clearance Sale,App Notification,50%+,68.23,2023-03-13,1,40.67,Beauty & Personal Care,True
PRM0008,Flash Sale — SMS 8,Flash Sale,SMS,30-50%,35.42,2022-10-11,14,136.44,Books & Stationery,False
PRM0009,Bundle Offer — Social Media 9,Bundle Offer,Social Media,30-50%,35.03,2020-08-14,16,24.09,Sports & Fitness,False
PRM0010,Flat Discount — Social Media 10,Flat Discount,Social Media,30-50%,42.14,2021-03-03,3,126.67,Beauty & Personal Care,True
PRM0011,Percentage Discount — Email 11,Percentage Discount,Email,0-10%,3.47,2023-04-08,28,28.57,Apparel,True
PRM0012,Percentage Discount — Email 12,Percentage Discount,Email,50%+,59.2,2023-09-13,9,132.81,Books & Stationery,True
PRM0013,Buy X Get Y — App Notification 13,Buy X Get Y,App Notification,20-30%,24.89,2023-01-13,12,79.41,Beauty & Personal Care,True
PRM0014,Percentage Discount — App Notification 14,Percentage Discount,App Notification,30-50%,32.44,2022-03-03,19,6.52,Apparel,True
PRM0015,Flash Sale — App Notification 15,Flash Sale,App Notification,20-30%,20.14,2020-12-08,8,105.05,Books & Stationery,True
