ProductID,ProductName,Category,SubCategory,Brand,SupplierID,CostPrice,ListPrice,MarginPct,IsActive,LaunchDate,Weight_kg
PRD00001,Refrigerator,Electronics,Large Appliances,Brand43,SUP018,19511.43,21832.99,10.63,True,2022-07-27,19.05
PRD00002,Refrigerator Premium,Electronics,Large Appliances,Brand23,SUP101,19792.04,21694.35,8.77,True,2020-10-18,20.59
PRD00003,Refrigerator Pro,Electronics,Large Appliances,Brand28,SUP178,11851.12,13075.43,9.36,True,2018-04-18,18.98
PRD00004,Refrigerator Max,Electronics,Large Appliances,Brand45,SUP136,9791.14,11361.82,13.82,True,2022-05-13,1.19
PRD00005,Refrigerator Select,Electronics,Large Appliances,Brand38,SUP074,5150.66,5859.57,12.1,True,2023-11-11,11.79
PRD00006,Refrigerator Classic,Electronics,Large Appliances,Brand24,SUP067,5966.0,6540.2,8.78,True,2019-12-12,20.83
PRD00007,Refrigerator Classic,Electronics,Large Appliances,Brand42,SUP088,17803.64,19754.21,9.87,True,2022-11-08,17.09
PRD00008,Refrigerator Premium,ELECTRONICS,Large Appliances,Brand01,SUP160,4813.76,5301.47,9.2,True,2022-06-20,19.54
PRD00009,Refrigerator Pro,Electronics,Large Appliances,Brand07,SUP050,12210.37,13783.39,11.41,True,2018-08-13,14.17
PRD00010,Refrigerator Eco,ELECTRONICS,Large Appliances,Brand28,SUP019,19303.85,21888.51,11.81,True,2021-08-01,10.97
PRD00011,Refrigerator Select,Electronics,Large Appliances,Brand43,SUP007,6548.0,7312.21,10.45,True,2019-11-08,7.41
PRD00012,Refrigerator Max,Electronics,Large Appliances,Brand40,SUP200,16914.92,19078.88,11.34,True,2021-06-22,4.26
PRD00013,Washing Machine,Electronics,Large Appliances,Brand37,SUP140,2101.35,2297.57,8.54,True,2020-11-14,3.89
PRD00014,Washing Machine Plus,Electronics,Large Appliances,Brand20,SUP048,17712.22,19829.39,10.68,True,2019-08-10,2.28
PRD00015,Washing Machine Lite,Electronics,Large Appliances,Brand46,SUP100,4309.79,4998.1,13.77,True,2022-10-27,19.49
PRD00016,Washing Machine Classic,Electronics,Large Appliances,Brand14,SUP016,18188.93,20367.47,10.7,True,2018-02-13,5.14
PRD00017,Washing Machine Max,Electronics,Large Appliances,Brand09,SUP093,8665.54,9788.84,11.48,True,2023-06-20,10.86
PRD00018,Washing Machine Pro,Electronics,Large Appliances,Brand33,SUP126,16112.88,18207.59,11.5,True,2018-10-02,12.4
PRD00019,Washing Machine Classic,Electronics,Large Appliances,Brand06,SUP036,9219.53,10116.58,8.87,True,2021-04-25,14.57
PRD00020,Washing Machine Elite,Electronics,Large Appliances,Brand02,SUP031,9613.71,10868.54,11.55,True,2023-06-22,2.16
PRD00021,Washing Machine Lite,ELECTRONICS,Large Appliances,Brand47,SUP033,12853.31,14432.88,10.94,True,2021-10-08,8.36
PRD00022,Washing Machine Elite,Electronics,Large Appliances,Brand02,SUP073,13641.58,15264.75,10.63,True,2022-07-04,13.9
PRD00023,Washing Machine Plus,Electronics,Large Appliances,Brand15,SUP049,4091.24,4650.9,12.03,True,2021-12-21,2.78
PRD00024,Washing Machine Elite,Electronics,Large Appliances,Brand02,SUP029,22803.57,25164.3,9.38,True,2021-04-23,20.23
PRD00025,Air Conditioner,Electronics,Large Appliances,Brand15,SUP125,8924.69,10343.56,13.72,True,2021-12-26,4.2
PRD00026,Air Conditioner Select,Electronics,Large Appliances,Brand50,SUP031,2615.8,2926.3,10.61,True,2023-11-25,22.35
PRD00027,Air Conditioner Pro,Electronics,Large Appliances,Brand39,SUP068,13599.54,15093.09,9.9,True,2021-11-03,18.7
PRD00028,Air Conditioner Select,Electronics,Large Appliances,Brand13,SUP007,7657.52,8865.01,13.62,True,2018-11-05,4.56
PRD00029,Air Conditioner Pro,Electronics,Large Appliances,Brand10,SUP057,15465.7,17827.36,13.25,True,2019-04-27,12.57
